epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7784,2.08751,1.6931,0.00755,0.64639,0.53989,0.59062,0.33424,1.75419,1.47196,0.00901,0.00038341,0.00038341,0.00038341
2,105.493,1.87704,1.31208,0.00642,0.64817,0.50959,0.56002,0.30634,1.84661,1.74864,0.00911,0.000780904,0.000780904,0.000780904
3,151.176,1.79891,1.24008,0.00606,0.6517,0.55848,0.61204,0.38507,1.57241,1.53477,0.00794,0.00117576,0.00117576,0.00117576
4,197.61,1.77205,1.20995,0.00598,0.70363,0.52223,0.60609,0.38397,1.59268,1.33469,0.00782,0.00156797,0.00156797,0.00156797
5,245.89,1.74616,1.20394,0.00574,0.65617,0.5609,0.61185,0.38655,1.58505,1.16282,0.0078,0.001645,0.001645,0.001645
6,295.36,1.729,1.17147,0.00554,0.69979,0.56112,0.63379,0.41641,1.47269,1.06021,0.00701,0.00163949,0.00163949,0.00163949
7,344.435,1.65244,1.14468,0.0054,0.70422,0.56875,0.63672,0.41039,1.54217,1.12169,0.00747,0.00163399,0.00163399,0.00163399
8,391.7,1.62639,1.11472,0.00523,0.7063,0.57604,0.65091,0.42075,1.48205,1.07642,0.00726,0.00162849,0.00162849,0.00162849
9,437.811,1.62088,1.10589,0.00526,0.69607,0.57434,0.64997,0.43799,1.45285,1.03452,0.00717,0.00162299,0.00162299,0.00162299
10,484.719,1.6065,1.08914,0.00506,0.70859,0.57728,0.65346,0.43181,1.48105,1.01151,0.00711,0.00161749,0.00161749,0.00161749
11,530.489,1.62928,1.0802,0.00515,0.72755,0.5781,0.66206,0.42347,1.54976,1.02825,0.00749,0.00161199,0.00161199,0.00161199
12,575.246,1.60656,1.06583,0.00501,0.72264,0.5896,0.66782,0.44226,1.43193,1.03117,0.00679,0.00160649,0.00160649,0.00160649
13,618.365,1.66669,1.08788,0.00525,0.72553,0.59811,0.66511,0.43383,1.47361,1.03479,0.00722,0.00160099,0.00160099,0.00160099
14,661.769,1.611,1.0688,0.00505,0.71744,0.58207,0.65697,0.43008,1.47227,1.0682,0.00704,0.00159549,0.00159549,0.00159549
15,704.692,1.63402,1.06131,0.00518,0.72457,0.55795,0.65235,0.41115,1.563,1.09499,0.00754,0.00158998,0.00158998,0.00158998
