epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.313,1.2984,2.45563,0.00505,0.53898,0.53045,0.54073,0.37181,0.97417,1.73612,0.00606,0.000661157,0.000661157,0.000661157
2,321.895,1.13652,1.79988,0.00444,0.55092,0.60369,0.59854,0.43405,0.94515,1.60257,0.0057,0.00132344,0.00132344,0.00132344
3,480.204,1.10367,1.59194,0.00431,0.65284,0.58987,0.63376,0.47359,0.90553,1.41085,0.00553,0.00198133,0.00198133,0.00198133
4,654.785,1.08301,1.51718,0.00428,0.66168,0.61823,0.68492,0.53123,0.80767,1.30009,0.005,0.0019802,0.0019802,0.0019802
5,828.114,1.09158,1.46222,0.00431,0.67245,0.61587,0.67691,0.5143,0.82668,1.30289,0.00522,0.0019736,0.0019736,0.0019736
6,987.958,1.04273,1.39224,0.00402,0.68357,0.63222,0.70735,0.54969,0.79458,1.18763,0.00492,0.001967,0.001967,0.001967
7,1130.4,1.02931,1.34198,0.00399,0.70916,0.63205,0.71227,0.57006,0.74292,1.13119,0.00456,0.0019604,0.0019604,0.0019604
8,1274.72,0.98255,1.30431,0.00374,0.72505,0.63413,0.71069,0.56105,0.73685,1.16009,0.00444,0.0019538,0.0019538,0.0019538
9,1437.07,0.97591,1.25307,0.00362,0.7146,0.64863,0.73136,0.59178,0.71512,1.05112,0.00442,0.0019472,0.0019472,0.0019472
10,1604.86,0.99257,1.23524,0.00373,0.73785,0.64097,0.73209,0.56459,0.81978,1.06095,0.00517,0.0019406,0.0019406,0.0019406
11,1774.16,0.97046,1.21863,0.00373,0.76048,0.6496,0.74741,0.60536,0.72004,1.00974,0.00435,0.001934,0.001934,0.001934
12,1942.36,0.96164,1.179,0.00367,0.7705,0.65571,0.74633,0.59675,0.77419,0.99276,0.00469,0.0019274,0.0019274,0.0019274
13,2112,0.96019,1.14488,0.00357,0.77015,0.64647,0.74064,0.56804,0.84513,1.03085,0.00477,0.0019208,0.0019208,0.0019208
14,2283.44,0.95524,1.13576,0.00356,0.77091,0.65066,0.74605,0.5917,0.7992,0.9936,0.00503,0.0019142,0.0019142,0.0019142
15,2452.31,0.9551,1.13971,0.00366,0.75315,0.65077,0.73755,0.5992,0.73368,0.96986,0.00444,0.0019076,0.0019076,0.0019076
16,2618.86,0.93832,1.11639,0.00352,0.77642,0.64948,0.75107,0.60222,0.7628,0.96402,0.00472,0.001901,0.001901,0.001901
17,2788.91,0.92854,1.10301,0.00356,0.78832,0.65243,0.75548,0.59653,0.80734,0.9812,0.00471,0.0018944,0.0018944,0.0018944
18,2958.16,0.94247,1.0847,0.00346,0.81871,0.64344,0.76249,0.61924,0.73503,0.93814,0.00442,0.0018878,0.0018878,0.0018878
19,3124.46,0.90024,1.0637,0.00341,0.77543,0.66336,0.74642,0.59321,0.76799,0.95081,0.00446,0.0018812,0.0018812,0.0018812
20,3291.19,0.90829,1.07493,0.00349,0.80985,0.65049,0.76071,0.62162,0.72754,0.93409,0.00447,0.0018746,0.0018746,0.0018746
21,3451.44,0.91688,1.06923,0.00342,0.78196,0.65512,0.75015,0.5799,0.85861,0.95596,0.00507,0.001868,0.001868,0.001868
22,3611.13,0.96714,1.05873,0.00364,0.8141,0.6735,0.77596,0.62902,0.73116,0.90348,0.00446,0.0018614,0.0018614,0.0018614
23,3771.97,0.89071,1.03049,0.00337,0.78584,0.6858,0.77394,0.63232,0.71428,0.92502,0.0044,0.0018548,0.0018548,0.0018548
24,3932.43,0.9135,1.03357,0.00341,0.79184,0.67174,0.75682,0.6158,0.71793,0.96383,0.00442,0.0018482,0.0018482,0.0018482
25,4092.45,0.87752,1.01536,0.00342,0.80718,0.66855,0.76447,0.62981,0.70913,0.92197,0.00427,0.0018416,0.0018416,0.0018416
26,4254.06,0.9041,1.02467,0.00331,0.81772,0.67589,0.77794,0.63801,0.70819,0.90844,0.0042,0.001835,0.001835,0.001835
27,4418.01,0.87323,1.00973,0.00328,0.82352,0.66249,0.7716,0.63075,0.71207,0.93824,0.00419,0.0018284,0.0018284,0.0018284
28,4579.24,0.87483,0.99421,0.00335,0.78418,0.67385,0.76382,0.60758,0.7747,0.9317,0.00437,0.0018218,0.0018218,0.0018218
29,4739.86,0.89049,1.01601,0.00334,0.80036,0.66562,0.76204,0.6107,0.76781,0.94079,0.00434,0.0018152,0.0018152,0.0018152
30,4898.58,0.95283,1.0397,0.00368,0.79725,0.66267,0.76306,0.62988,0.70511,0.92598,0.00428,0.0018086,0.0018086,0.0018086
31,5057.5,0.91046,1.01298,0.00345,0.79349,0.68851,0.77381,0.6336,0.71363,0.90313,0.00418,0.001802,0.001802,0.001802
32,5217.24,0.89899,1.00901,0.00339,0.81785,0.67725,0.77666,0.63635,0.73778,0.85389,0.0043,0.0017954,0.0017954,0.0017954
33,5376.61,0.87376,0.9857,0.00324,0.81063,0.69332,0.78545,0.65193,0.68051,0.85708,0.00402,0.0017888,0.0017888,0.0017888
34,5535.68,0.86581,0.97593,0.0033,0.80863,0.68074,0.77822,0.63555,0.72463,0.87976,0.00449,0.0017822,0.0017822,0.0017822
35,5697.64,0.86828,0.96187,0.0033,0.80414,0.68001,0.7779,0.63894,0.70715,0.8851,0.00415,0.0017756,0.0017756,0.0017756
36,5860.13,0.83759,0.9659,0.00325,0.81435,0.67688,0.77917,0.64008,0.70494,0.88709,0.00422,0.001769,0.001769,0.001769
37,6021.93,0.87886,0.95477,0.00318,0.79418,0.68001,0.77826,0.63743,0.71566,0.86507,0.00429,0.0017624,0.0017624,0.0017624
38,6183.7,0.85644,0.96058,0.00328,0.80102,0.68633,0.7784,0.63869,0.72133,0.8709,0.00418,0.0017558,0.0017558,0.0017558
39,6347.84,0.85503,0.9653,0.00323,0.81194,0.68928,0.78798,0.63224,0.77873,0.85509,0.0046,0.0017492,0.0017492,0.0017492
40,6511.05,0.85819,0.94505,0.00332,0.82899,0.68128,0.78583,0.65397,0.70397,0.84941,0.00429,0.0017426,0.0017426,0.0017426
41,6675,0.86797,0.95159,0.00328,0.82945,0.67832,0.78944,0.65078,0.71512,0.84256,0.00414,0.001736,0.001736,0.001736
42,6838.92,0.86928,0.9344,0.00324,0.81071,0.70338,0.80096,0.66786,0.67483,0.82617,0.00393,0.0017294,0.0017294,0.0017294
43,6993.26,0.84512,0.9456,0.00316,0.81982,0.6945,0.79527,0.66735,0.66825,0.82603,0.004,0.0017228,0.0017228,0.0017228
44,7146.94,0.82996,0.93439,0.00307,0.84151,0.67745,0.78791,0.65294,0.6867,0.83108,0.00408,0.0017162,0.0017162,0.0017162
45,7290.24,0.85378,0.94439,0.00321,0.81927,0.68217,0.78707,0.66158,0.67506,0.83235,0.00405,0.0017096,0.0017096,0.0017096
46,7432.8,0.84095,0.9414,0.00313,0.82454,0.66562,0.78053,0.65287,0.68088,0.84374,0.00408,0.001703,0.001703,0.001703
47,7576.13,0.82915,0.92986,0.00316,0.82609,0.69068,0.79275,0.65662,0.70777,0.83108,0.00414,0.0016964,0.0016964,0.0016964
48,7718.71,0.85139,0.92463,0.00317,0.81844,0.69224,0.79174,0.65952,0.70905,0.83021,0.00408,0.0016898,0.0016898,0.0016898
49,7859.46,0.83863,0.9343,0.00317,0.81249,0.68424,0.78448,0.66117,0.66198,0.83252,0.00402,0.0016832,0.0016832,0.0016832
50,8000.69,0.85639,0.9336,0.00333,0.84347,0.67406,0.79524,0.65637,0.71077,0.83452,0.00416,0.0016766,0.0016766,0.0016766
51,8144.4,0.8661,0.93339,0.00317,0.81638,0.68762,0.79388,0.67282,0.64403,0.81175,0.00373,0.00167,0.00167,0.00167
52,8287.58,0.81269,0.91353,0.00309,0.81452,0.68615,0.78376,0.64565,0.70547,0.83337,0.00406,0.0016634,0.0016634,0.0016634
53,8430.85,0.84079,0.92058,0.00312,0.84128,0.66441,0.77817,0.64031,0.71776,0.86629,0.00413,0.0016568,0.0016568,0.0016568
54,8573.01,0.81955,0.90512,0.00302,0.81676,0.69092,0.78934,0.66082,0.68452,0.84257,0.00407,0.0016502,0.0016502,0.0016502
55,8714.35,0.82263,0.91148,0.00297,0.829,0.68493,0.78995,0.66076,0.67911,0.83014,0.00395,0.0016436,0.0016436,0.0016436
56,8856.02,0.81512,0.91191,0.00307,0.82113,0.70042,0.79413,0.66446,0.6834,0.80961,0.00411,0.001637,0.001637,0.001637
57,8996.89,0.80632,0.90163,0.003,0.81209,0.69624,0.78445,0.65695,0.67319,0.83029,0.00393,0.0016304,0.0016304,0.0016304
58,9138.28,0.83149,0.89944,0.00313,0.81723,0.69935,0.79878,0.66894,0.6887,0.80403,0.00402,0.0016238,0.0016238,0.0016238
59,9280.68,0.81672,0.8983,0.00301,0.85691,0.67826,0.79924,0.67568,0.65175,0.79607,0.0039,0.0016172,0.0016172,0.0016172
60,9421.9,0.81873,0.88825,0.00301,0.84603,0.68828,0.79981,0.65968,0.71428,0.80977,0.00415,0.0016106,0.0016106,0.0016106
61,9564.4,0.81504,0.87992,0.00299,0.83242,0.69885,0.79733,0.67826,0.64165,0.78576,0.00373,0.001604,0.001604,0.001604
62,9704.95,0.81665,0.88995,0.00304,0.82379,0.68841,0.79037,0.65628,0.68505,0.84171,0.00398,0.0015974,0.0015974,0.0015974
63,9846.46,0.83285,0.89243,0.00299,0.80747,0.70703,0.79383,0.6692,0.66368,0.79141,0.00392,0.0015908,0.0015908,0.0015908
64,9987.07,0.79531,0.88324,0.00302,0.84645,0.69818,0.80827,0.68229,0.65391,0.78231,0.00377,0.0015842,0.0015842,0.0015842
65,10128.9,0.81231,0.88054,0.00303,0.85628,0.69344,0.79948,0.67777,0.64187,0.79606,0.00374,0.0015776,0.0015776,0.0015776
66,10271.6,0.79852,0.8716,0.00301,0.85642,0.68179,0.79778,0.68294,0.62287,0.79639,0.00368,0.001571,0.001571,0.001571
