epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.74789,2.18722,3.76823,0.00754,0.03561,0.28687,0.09819,0.04885,2.03492,3.44574,0.00959,8.335e-05,8.335e-05,8.335e-05
2,15.6544,2.07458,3.72267,0.00649,0.04316,0.31234,0.11683,0.05846,1.92664,3.4375,0.00892,0.000182765,0.000182765,0.000182765
3,21.8127,1.99032,3.62648,0.0069,0.04964,0.35281,0.14182,0.07085,1.83139,3.4485,0.00815,0.00028152,0.00028152,0.00028152
4,28.3174,2.01817,3.59103,0.00684,0.04907,0.3886,0.12253,0.05353,1.92573,3.45623,0.00902,0.000379614,0.000379614,0.000379614
5,34.2704,1.87264,3.37711,0.00579,0.03949,0.32827,0.09808,0.04214,1.9901,3.4793,0.0091,0.000477049,0.000477049,0.000477049
6,40.3031,1.9727,3.30775,0.00602,0.03761,0.31553,0.09313,0.04269,2.12346,3.47994,0.00978,0.000573823,0.000573823,0.000573823
7,46.4916,1.88488,3.17935,0.00603,0.03738,0.31646,0.11293,0.05076,1.98583,3.43932,0.00921,0.000669937,0.000669937,0.000669937
8,52.4627,1.83375,2.9961,0.0064,0.03738,0.31646,0.11293,0.05076,1.98583,3.43932,0.00921,0.000765391,0.000765391,0.000765391
9,58.7218,1.85274,2.90154,0.00532,0.03591,0.30334,0.16977,0.08552,1.74444,3.2732,0.008,0.000860185,0.000860185,0.000860185
10,64.7923,1.84632,2.85072,0.00608,0.04583,0.39085,0.19929,0.10199,1.73306,3.10833,0.00789,0.000954319,0.000954319,0.000954319
11,70.5759,1.73183,2.62718,0.00552,0.04583,0.39085,0.19929,0.10199,1.73306,3.10833,0.00789,0.00104779,0.00104779,0.00104779
12,76.7866,1.88159,2.71745,0.00537,0.06857,0.58384,0.29253,0.16508,1.77798,2.75932,0.00768,0.00114061,0.00114061,0.00114061
13,82.8386,1.77738,2.4396,0.00541,0.06857,0.58384,0.29253,0.16508,1.77798,2.75932,0.00768,0.00123276,0.00123276,0.00123276
14,89.297,1.87084,2.47394,0.00558,0.06857,0.58384,0.29253,0.16508,1.77798,2.75932,0.00768,0.00132425,0.00132425,0.00132425
15,95.5971,1.94665,2.39098,0.00542,0.59147,0.37381,0.40229,0.2196,1.91477,2.1837,0.00852,0.00141509,0.00141509,0.00141509
16,101.265,1.79736,2.29819,0.00537,0.59147,0.37381,0.40229,0.2196,1.91477,2.1837,0.00852,0.00150526,0.00150526,0.00150526
17,107.549,1.90399,2.26434,0.00528,0.50514,0.41709,0.46956,0.25582,1.82561,1.90442,0.00845,0.00157898,0.00157898,0.00157898
18,113.549,1.82109,2.11584,0.00607,0.50514,0.41709,0.46956,0.25582,1.82561,1.90442,0.00845,0.00157348,0.00157348,0.00157348
19,119.817,1.86537,2.17847,0.00524,0.50514,0.41709,0.46956,0.25582,1.82561,1.90442,0.00845,0.00156798,0.00156798,0.00156798
20,125.703,1.76313,2.14684,0.00595,0.44174,0.53233,0.47974,0.24576,1.83035,2.10999,0.00838,0.00156248,0.00156248,0.00156248
21,131.676,1.84028,2.02943,0.00552,0.44174,0.53233,0.47974,0.24576,1.83035,2.10999,0.00838,0.00155698,0.00155698,0.00155698
22,137.963,1.8136,2.20678,0.00648,0.44174,0.53233,0.47974,0.24576,1.83035,2.10999,0.00838,0.00155148,0.00155148,0.00155148
23,144.376,1.78729,1.92737,0.00608,0.49763,0.48061,0.48397,0.24122,1.85171,2.28776,0.00823,0.00154598,0.00154598,0.00154598
24,150.508,1.92013,1.98659,0.00547,0.49763,0.48061,0.48397,0.24122,1.85171,2.28776,0.00823,0.00154047,0.00154047,0.00154047
25,156.915,1.81965,2.04922,0.00621,0.46034,0.57692,0.51264,0.25894,1.79864,2.30439,0.00799,0.00153497,0.00153497,0.00153497
26,163.305,1.86072,1.94289,0.0059,0.46034,0.57692,0.51264,0.25894,1.79864,2.30439,0.00799,0.00152947,0.00152947,0.00152947
27,169.585,1.67882,1.88837,0.00529,0.46034,0.57692,0.51264,0.25894,1.79864,2.30439,0.00799,0.00152397,0.00152397,0.00152397
28,175.991,1.70036,1.96764,0.00528,0.49971,0.52125,0.51863,0.26827,1.79515,2.14716,0.0078,0.00151847,0.00151847,0.00151847
