epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1906,1.41902,1.38879,0.00485,0.79073,0.7056,0.78166,0.52263,1.27367,1.16103,0.00584,0.00054409,0.00054409,0.00054409
2,114.685,1.44442,1.37253,0.00486,0.81369,0.72704,0.81821,0.62108,0.99994,1.07813,0.0049,0.00109613,0.00109613,0.00109613
3,168.004,1.36888,1.33566,0.00475,0.78854,0.71238,0.79827,0.60435,0.99584,1.01515,0.00483,0.0016445,0.0016445,0.0016445
4,221.232,1.41922,1.34397,0.00481,0.76098,0.69018,0.76305,0.50755,1.23208,1.11789,0.006,0.0016505,0.0016505,0.0016505
5,272.742,1.31894,1.29122,0.00457,0.7986,0.71739,0.80092,0.58154,1.07768,1.01214,0.00498,0.001645,0.001645,0.001645
6,324.885,1.34855,1.28823,0.00477,0.76331,0.70695,0.78508,0.58196,1.0105,0.99171,0.0049,0.00163949,0.00163949,0.00163949
7,376.919,1.31324,1.25127,0.00456,0.78566,0.70167,0.7998,0.61468,0.93598,0.95667,0.00469,0.00163399,0.00163399,0.00163399
8,429.45,1.31367,1.24079,0.00445,0.78526,0.68626,0.78347,0.56946,1.04848,0.95697,0.00518,0.00162849,0.00162849,0.00162849
9,482.471,1.31625,1.24366,0.00445,0.77898,0.69832,0.79416,0.62409,0.8663,0.94727,0.00435,0.00162299,0.00162299,0.00162299
10,535.444,1.27901,1.22465,0.0044,0.78583,0.69093,0.78772,0.61249,0.90826,0.92632,0.00463,0.00161749,0.00161749,0.00161749
11,588.718,1.25382,1.19222,0.00424,0.76926,0.71592,0.79373,0.62273,0.89273,0.88814,0.00447,0.00161199,0.00161199,0.00161199
12,640.484,1.24181,1.17323,0.00412,0.77083,0.71267,0.79519,0.62205,0.90226,0.92412,0.00448,0.00160649,0.00160649,0.00160649
13,692.908,1.25175,1.18731,0.00421,0.78278,0.69747,0.79005,0.62339,0.87598,0.93083,0.00456,0.00160099,0.00160099,0.00160099
14,746.859,1.24675,1.17502,0.00421,0.79878,0.69883,0.79429,0.61572,0.92435,0.91967,0.00471,0.00159549,0.00159549,0.00159549
15,797.814,1.27016,1.17896,0.00444,0.76452,0.69172,0.79055,0.62969,0.8746,0.89477,0.00435,0.00158998,0.00158998,0.00158998
16,850.417,1.2585,1.15375,0.00421,0.77072,0.6994,0.78635,0.61024,0.91392,0.92903,0.00457,0.00158448,0.00158448,0.00158448
17,901.076,1.19718,1.11273,0.00397,0.76999,0.70705,0.78286,0.5986,0.95372,0.88537,0.00481,0.00157898,0.00157898,0.00157898
18,952.583,1.20531,1.1242,0.004,0.80157,0.70042,0.7982,0.64684,0.81212,0.84535,0.00393,0.00157348,0.00157348,0.00157348
19,1003.15,1.2168,1.11465,0.00395,0.7782,0.71253,0.79198,0.61296,0.89716,0.87102,0.00417,0.00156798,0.00156798,0.00156798
20,1056.75,1.22837,1.10963,0.00415,0.78191,0.70515,0.79322,0.6324,0.85341,0.874,0.00439,0.00156248,0.00156248,0.00156248
21,1110.8,1.20748,1.10893,0.00412,0.78191,0.71711,0.78818,0.61034,0.91685,0.93503,0.00441,0.00155698,0.00155698,0.00155698
22,1163.07,1.21487,1.10832,0.0041,0.79241,0.71088,0.79248,0.62548,0.89364,0.88308,0.00458,0.00155148,0.00155148,0.00155148
23,1215.43,1.22489,1.10555,0.00405,0.78331,0.7264,0.78815,0.59801,0.98017,0.84791,0.00493,0.00154598,0.00154598,0.00154598
24,1266.07,1.20837,1.08312,0.00397,0.77811,0.7118,0.79498,0.64064,0.86324,0.87745,0.00438,0.00154047,0.00154047,0.00154047
