epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.42188,2.09237,3.44948,0.00806,0.03619,0.61789,0.05108,0.02227,1.75134,3.1086,0.01001,0.0001,0.0001,0.0001
2,13.789,2.09132,3.39695,0.00723,0.03667,0.62602,0.09579,0.04018,1.75729,3.07655,0.01047,0.000219274,0.000219274,0.000219274
3,19.7734,1.93584,3.23459,0.00763,0.03571,0.60976,0.19423,0.09212,1.7924,3.07887,0.01067,0.000337756,0.000337756,0.000337756
4,25.9722,1.98048,3.15214,0.00741,0.03905,0.66667,0.28853,0.1248,1.69019,3.11745,0.00949,0.000455446,0.000455446,0.000455446
5,32.2,1.7978,2.93756,0.00618,0.03905,0.66667,0.26372,0.09879,1.74091,3.12373,0.00979,0.000572344,0.000572344,0.000572344
6,38.4255,1.90039,2.86357,0.00646,0.0381,0.65041,0.21531,0.08903,1.80668,3.10567,0.01024,0.00068845,0.00068845,0.00068845
7,43.9401,1.7593,2.6997,0.00645,0.03952,0.6748,0.24091,0.12453,1.67564,2.95322,0.00938,0.000803764,0.000803764,0.000803764
8,49.3931,1.77123,2.50773,0.00683,0.03952,0.6748,0.24091,0.12453,1.67564,2.95322,0.00938,0.000918286,0.000918286,0.000918286
9,55.1688,1.7828,2.41585,0.00566,0.04143,0.70732,0.24914,0.14019,1.63418,2.818,0.00924,0.00103202,0.00103202,0.00103202
10,60.9061,1.8446,2.40181,0.00683,0.29912,0.42276,0.29631,0.15901,1.63752,2.56765,0.00937,0.00114495,0.00114495,0.00114495
11,66.7932,1.75363,2.16796,0.00628,0.29912,0.42276,0.29631,0.15901,1.63752,2.56765,0.00937,0.0012571,0.0012571,0.0012571
12,73.087,1.78332,2.17898,0.00564,0.36052,0.31707,0.34628,0.1488,1.80413,2.3509,0.01077,0.00136845,0.00136845,0.00136845
13,79.135,1.86103,2.10393,0.00636,0.36052,0.31707,0.34628,0.1488,1.80413,2.3509,0.01077,0.00147902,0.00147902,0.00147902
14,84.8149,1.81032,2.0771,0.00687,0.36052,0.31707,0.34628,0.1488,1.80413,2.3509,0.01077,0.00158879,0.00158879,0.00158879
15,90.5503,1.9288,2.02048,0.00612,0.46188,0.57724,0.48097,0.18312,1.83532,2.14844,0.01051,0.00169776,0.00169776,0.00169776
16,96.3102,1.87446,2.0453,0.00622,0.46188,0.57724,0.48097,0.18312,1.83532,2.14844,0.01051,0.00180595,0.00180595,0.00180595
17,102.274,1.8422,2.01329,0.00602,0.53442,0.49593,0.47822,0.19961,1.73721,2.49022,0.00972,0.0018944,0.0018944,0.0018944
18,107.891,1.81089,2.15542,0.00696,0.53442,0.49593,0.47822,0.19961,1.73721,2.49022,0.00972,0.0018878,0.0018878,0.0018878
19,114.008,1.87357,1.98803,0.00592,0.53442,0.49593,0.47822,0.19961,1.73721,2.49022,0.00972,0.0018812,0.0018812,0.0018812
20,119.991,1.79273,2.03248,0.00665,0.46352,0.52033,0.48115,0.19503,1.74569,2.8449,0.00998,0.0018746,0.0018746,0.0018746
21,125.896,1.73621,1.94465,0.00564,0.46352,0.52033,0.48115,0.19503,1.74569,2.8449,0.00998,0.001868,0.001868,0.001868
22,131.921,1.83554,2.17235,0.00699,0.46352,0.52033,0.48115,0.19503,1.74569,2.8449,0.00998,0.0018614,0.0018614,0.0018614
23,137.981,1.772,1.90398,0.00649,0.54292,0.52033,0.52033,0.22328,1.75057,2.55985,0.00995,0.0018548,0.0018548,0.0018548
24,146.523,1.72393,1.92554,0.0057,0.54292,0.52033,0.52033,0.22328,1.75057,2.55985,0.00995,0.0018482,0.0018482,0.0018482
25,156.072,1.67995,1.98172,0.00658,0.49887,0.43706,0.49066,0.20659,1.72801,2.52172,0.00986,0.0018416,0.0018416,0.0018416
26,163.933,1.79254,1.99848,0.00644,0.49887,0.43706,0.49066,0.20659,1.72801,2.52172,0.00986,0.001835,0.001835,0.001835
27,170.193,1.61525,1.97201,0.00569,0.49887,0.43706,0.49066,0.20659,1.72801,2.52172,0.00986,0.0018284,0.0018284,0.0018284
28,176.477,1.70656,1.94466,0.006,0.47797,0.47154,0.49997,0.2174,1.62259,2.26665,0.00894,0.0018218,0.0018218,0.0018218
29,182.631,1.6521,1.882,0.00547,0.47797,0.47154,0.49997,0.2174,1.62259,2.26665,0.00894,0.0018152,0.0018152,0.0018152
30,189.055,1.78235,2.0012,0.00617,0.47797,0.47154,0.49997,0.2174,1.62259,2.26665,0.00894,0.0018086,0.0018086,0.0018086
31,195.56,1.7354,1.9341,0.0057,0.49648,0.44893,0.51743,0.22687,1.61558,2.09082,0.00889,0.001802,0.001802,0.001802
32,201.394,1.62607,1.9226,0.00541,0.49648,0.44893,0.51743,0.22687,1.61558,2.09082,0.00889,0.0017954,0.0017954,0.0017954
33,207.056,1.64851,2.00332,0.00616,0.44088,0.55134,0.4976,0.21951,1.64841,2.06057,0.00926,0.0017888,0.0017888,0.0017888
34,213.034,1.78746,1.91394,0.00554,0.44088,0.55134,0.4976,0.21951,1.64841,2.06057,0.00926,0.0017822,0.0017822,0.0017822
35,218.572,1.67264,1.97165,0.00605,0.44088,0.55134,0.4976,0.21951,1.64841,2.06057,0.00926,0.0017756,0.0017756,0.0017756
36,224.249,1.66886,2.00601,0.00605,0.47934,0.53659,0.52772,0.248,1.63567,2.01073,0.0091,0.001769,0.001769,0.001769
37,229.885,1.53765,1.85291,0.00498,0.47934,0.53659,0.52772,0.248,1.63567,2.01073,0.0091,0.0017624,0.0017624,0.0017624
38,236.033,1.59669,1.88515,0.00551,0.47934,0.53659,0.52772,0.248,1.63567,2.01073,0.0091,0.0017558,0.0017558,0.0017558
39,241.9,1.70911,1.84585,0.00529,0.46774,0.64301,0.5341,0.26755,1.63031,1.9418,0.00902,0.0017492,0.0017492,0.0017492
40,247.506,1.60346,1.94583,0.00554,0.46774,0.64301,0.5341,0.26755,1.63031,1.9418,0.00902,0.0017426,0.0017426,0.0017426
41,253.356,1.58127,1.87306,0.00541,0.48879,0.60635,0.52716,0.264,1.6368,2.01233,0.00934,0.001736,0.001736,0.001736
42,259.125,1.5706,1.8295,0.00538,0.48879,0.60635,0.52716,0.264,1.6368,2.01233,0.00934,0.0017294,0.0017294,0.0017294
43,265.08,1.58442,2.04889,0.00619,0.48879,0.60635,0.52716,0.264,1.6368,2.01233,0.00934,0.0017228,0.0017228,0.0017228
44,271.41,1.66846,1.78362,0.00564,0.44093,0.65854,0.53082,0.26758,1.67476,2.01096,0.00986,0.0017162,0.0017162,0.0017162
45,277.495,1.64101,1.8953,0.0058,0.44093,0.65854,0.53082,0.26758,1.67476,2.01096,0.00986,0.0017096,0.0017096,0.0017096
46,283.286,1.55807,1.75653,0.00522,0.44093,0.65854,0.53082,0.26758,1.67476,2.01096,0.00986,0.001703,0.001703,0.001703
47,288.893,1.58769,1.81174,0.00551,0.48275,0.60976,0.52718,0.26979,1.64869,1.96259,0.00971,0.0016964,0.0016964,0.0016964
48,294.643,1.66911,1.92694,0.00581,0.48275,0.60976,0.52718,0.26979,1.64869,1.96259,0.00971,0.0016898,0.0016898,0.0016898
49,300.579,1.57324,1.72967,0.0051,0.52627,0.60976,0.55236,0.27962,1.62168,1.8929,0.00935,0.0016832,0.0016832,0.0016832
50,306.26,1.6365,1.82695,0.00563,0.52627,0.60976,0.55236,0.27962,1.62168,1.8929,0.00935,0.0016766,0.0016766,0.0016766
51,311.862,1.59235,1.74036,0.0054,0.52627,0.60976,0.55236,0.27962,1.62168,1.8929,0.00935,0.00167,0.00167,0.00167
52,317.637,1.50739,1.85927,0.00602,0.50062,0.63415,0.57928,0.27414,1.65197,1.91347,0.00967,0.0016634,0.0016634,0.0016634
53,323.455,1.59446,1.76157,0.00552,0.50062,0.63415,0.57928,0.27414,1.65197,1.91347,0.00967,0.0016568,0.0016568,0.0016568
54,329.217,1.55841,1.72813,0.00525,0.50062,0.63415,0.57928,0.27414,1.65197,1.91347,0.00967,0.0016502,0.0016502,0.0016502
55,335.008,1.63174,1.70693,0.00545,0.50563,0.60976,0.57849,0.26322,1.69249,1.89708,0.00983,0.0016436,0.0016436,0.0016436
56,340.852,1.68613,1.67598,0.00522,0.50563,0.60976,0.57849,0.26322,1.69249,1.89708,0.00983,0.001637,0.001637,0.001637
57,346.719,1.60659,1.78828,0.0061,0.56644,0.53659,0.58402,0.25964,1.72021,1.85313,0.01021,0.0016304,0.0016304,0.0016304
58,352.362,1.67168,1.63957,0.00506,0.56644,0.53659,0.58402,0.25964,1.72021,1.85313,0.01021,0.0016238,0.0016238,0.0016238
59,358.221,1.64902,1.78401,0.00636,0.56644,0.53659,0.58402,0.25964,1.72021,1.85313,0.01021,0.0016172,0.0016172,0.0016172
60,364.018,1.63603,1.6739,0.00548,0.57923,0.58199,0.62084,0.27794,1.66306,1.8697,0.0097,0.0016106,0.0016106,0.0016106
61,369.679,1.61579,1.69031,0.00569,0.57923,0.58199,0.62084,0.27794,1.66306,1.8697,0.0097,0.001604,0.001604,0.001604
62,375.487,1.58539,1.67732,0.00524,0.57923,0.58199,0.62084,0.27794,1.66306,1.8697,0.0097,0.0015974,0.0015974,0.0015974
63,381.148,1.49218,1.67192,0.00546,0.58839,0.58537,0.57065,0.25148,1.70545,1.91976,0.01016,0.0015908,0.0015908,0.0015908
64,386.831,1.70918,1.79637,0.00623,0.58839,0.58537,0.57065,0.25148,1.70545,1.91976,0.01016,0.0015842,0.0015842,0.0015842
65,392.556,1.57706,1.62175,0.00507,0.57408,0.54472,0.56504,0.2624,1.67302,1.91461,0.01001,0.0015776,0.0015776,0.0015776
66,398.301,1.69907,1.6678,0.00537,0.57408,0.54472,0.56504,0.2624,1.67302,1.91461,0.01001,0.001571,0.001571,0.001571
67,403.904,1.59794,1.72646,0.00566,0.57408,0.54472,0.56504,0.2624,1.67302,1.91461,0.01001,0.0015644,0.0015644,0.0015644
68,409.907,1.56111,1.72775,0.00584,0.61985,0.65041,0.60717,0.2743,1.70102,1.82182,0.01005,0.0015578,0.0015578,0.0015578
69,416.154,1.68981,1.66803,0.00494,0.61985,0.65041,0.60717,0.2743,1.70102,1.82182,0.01005,0.0015512,0.0015512,0.0015512
70,421.772,1.49936,1.6359,0.00524,0.61985,0.65041,0.60717,0.2743,1.70102,1.82182,0.01005,0.0015446,0.0015446,0.0015446
71,428.077,1.67397,1.74262,0.00587,0.57769,0.55608,0.57955,0.26159,1.75509,1.82119,0.01035,0.001538,0.001538,0.001538
72,434.288,1.67588,1.70843,0.00491,0.57769,0.55608,0.57955,0.26159,1.75509,1.82119,0.01035,0.0015314,0.0015314,0.0015314
73,439.954,1.54619,1.65518,0.00538,0.65693,0.53659,0.60696,0.27168,1.79411,1.75144,0.01079,0.0015248,0.0015248,0.0015248
74,445.526,1.5334,1.59895,0.00545,0.65693,0.53659,0.60696,0.27168,1.79411,1.75144,0.01079,0.0015182,0.0015182,0.0015182
75,451.451,1.63055,1.65155,0.0055,0.65693,0.53659,0.60696,0.27168,1.79411,1.75144,0.01079,0.0015116,0.0015116,0.0015116
