epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.29952,2.14597,3.47304,0.00801,0.03571,0.60976,0.04888,0.0233,1.70937,3.11547,0.00969,0.0001,0.0001,0.0001
2,14.677,1.94666,3.36215,0.00697,0.03667,0.62602,0.08721,0.04206,1.75642,3.07698,0.01034,0.000219274,0.000219274,0.000219274
3,20.6103,1.79002,3.20472,0.00663,0.03714,0.63415,0.17269,0.09158,1.69373,3.11955,0.00988,0.000337756,0.000337756,0.000337756
4,26.2933,1.79273,3.12228,0.00585,0.03524,0.60163,0.19623,0.09591,1.93301,3.1164,0.01195,0.000455446,0.000455446,0.000455446
5,32.2788,1.92537,2.96266,0.00645,0.03429,0.58537,0.17945,0.08084,2.1602,3.09764,0.01362,0.000572344,0.000572344,0.000572344
6,38.1398,1.82746,2.77356,0.00594,0.03714,0.63415,0.19239,0.10193,1.93682,3.01522,0.01164,0.00068845,0.00068845,0.00068845
7,44.1254,1.81597,2.61848,0.00582,0.03952,0.6748,0.21668,0.11322,1.66328,2.9798,0.00954,0.000803764,0.000803764,0.000803764
8,49.9742,1.72528,2.48811,0.00639,0.03952,0.6748,0.21668,0.11322,1.66328,2.9798,0.00954,0.000918286,0.000918286,0.000918286
9,55.933,1.73114,2.39177,0.0058,0.04095,0.69919,0.23993,0.12957,1.60668,2.80607,0.00891,0.00103202,0.00103202,0.00103202
10,61.983,1.67208,2.31333,0.00576,0.31316,0.3252,0.28611,0.13135,1.68746,2.61246,0.01004,0.00114495,0.00114495,0.00114495
11,68.0902,1.68297,2.11759,0.00607,0.31316,0.3252,0.28611,0.13135,1.68746,2.61246,0.01004,0.0012571,0.0012571,0.0012571
12,73.9621,1.79656,2.15954,0.00652,0.42537,0.37398,0.40075,0.1695,1.74813,2.34361,0.01048,0.00136845,0.00136845,0.00136845
13,79.8605,1.68685,2.06715,0.00641,0.42537,0.37398,0.40075,0.1695,1.74813,2.34361,0.01048,0.00147902,0.00147902,0.00147902
14,85.9141,1.78745,2.05755,0.00596,0.42537,0.37398,0.40075,0.1695,1.74813,2.34361,0.01048,0.00158879,0.00158879,0.00158879
15,91.6932,1.61939,2.05137,0.00594,0.44267,0.46341,0.45589,0.21035,1.72895,2.12953,0.00976,0.00169776,0.00169776,0.00169776
16,97.543,1.64464,2.07296,0.00593,0.44267,0.46341,0.45589,0.21035,1.72895,2.12953,0.00976,0.00180595,0.00180595,0.00180595
17,103.486,1.73049,2.04776,0.006,0.3672,0.49593,0.42354,0.1858,1.79624,2.69816,0.01069,0.0018944,0.0018944,0.0018944
18,109.472,1.70897,2.18129,0.00621,0.3672,0.49593,0.42354,0.1858,1.79624,2.69816,0.01069,0.0018878,0.0018878,0.0018878
19,115.703,1.75142,1.93308,0.00559,0.3672,0.49593,0.42354,0.1858,1.79624,2.69816,0.01069,0.0018812,0.0018812,0.0018812
20,121.755,1.7551,2.12263,0.00649,0.40158,0.45528,0.39237,0.15985,1.8243,3.00189,0.01105,0.0018746,0.0018746,0.0018746
21,127.678,1.68167,2.00697,0.00597,0.40158,0.45528,0.39237,0.15985,1.8243,3.00189,0.01105,0.001868,0.001868,0.001868
22,133.693,1.70679,2.07209,0.00627,0.40158,0.45528,0.39237,0.15985,1.8243,3.00189,0.01105,0.0018614,0.0018614,0.0018614
23,139.76,1.76505,1.89801,0.00607,0.42103,0.56911,0.45768,0.19006,1.70299,2.61065,0.00976,0.0018548,0.0018548,0.0018548
24,145.621,1.67987,1.86054,0.006,0.42103,0.56911,0.45768,0.19006,1.70299,2.61065,0.00976,0.0018482,0.0018482,0.0018482
